Date,High,Low,Open,Close,Volume,Adj Close,MTD-15ma,MTD-50ma,MTD-100ma,MTD-200ma
2000-09-18,45.4375,45.1875,45.4375,45.25,94600,45.25,46.354166666666664,43.85125,40.96953125,39.69626736111111
2000-09-19,45.9375,45.0,45.1875,45.9375,70200,45.9375,46.34166666666667,43.95125,41.01890625,39.730749309392266
2000-09-20,46.75,45.625,45.9375,46.3125,125900,46.3125,46.3,44.03625,41.13703125,39.76691277472528
2000-09-21,46.6875,46.125,46.375,46.125,17400,46.125,46.333333333333336,44.0925,41.25015625,39.80165642076503
2000-09-22,46.375,45.875,45.9375,46.125,97200,46.125,46.25416666666667,44.16375,41.37140625,39.83602241847826
2000-09-25,46.625,44.625,46.125,45.5625,67600,45.5625,46.06666666666667,44.23,41.47140625,39.866976351351354
2000-09-26,45.3125,43.625,45.3125,44.625,110300,44.625,45.920833333333334,44.2925,41.56453125,39.89255712365591
2000-09-27,45.0,43.3125,44.625,43.6875,349400,43.6875,45.775,44.35125,41.64203125,39.91285093582888
2000-09-28,44.6875,41.0,43.0,44.6875,139500,44.6875,45.65,44.46,41.74703125,39.938248005319146
2000-09-29,45.3125,44.0,44.5,44.0,349400,44.0,45.52916666666667,44.52,41.85328125,39.95973875661376
2000-10-02,44.3125,43.125,44.25,43.375,93900,43.375,45.3,44.56,41.93390625,39.97771381578947
2000-10-03,44.0,42.625,43.5625,42.75,81800,42.75,45.0625,44.585,41.96203125,39.99222840314136
2000-10-04,44.25,42.375,42.9375,43.125,141400,43.125,44.85,44.62875,42.01390625,40.008544921875
2000-10-05,44.25,42.4375,43.0,42.4375,57900,42.4375,44.62083333333333,44.65375,42.06890625,40.021130181347154
2000-10-06,44.25,42.0,42.5,43.5,196600,43.5,44.5,44.73375,42.11765625,40.0390625
2000-10-09,45.125,43.375,43.75,44.3125,51600,44.3125,44.4375,44.8375,42.19453125,40.060977564102565
2000-10-10,48.25,45.25,45.25,45.625,338100,45.625,44.416666666666664,44.94,42.28640625,40.08936543367347
2000-10-11,49.875,45.625,45.625,47.5625,286300,47.5625,44.5,45.08375,42.41265625,40.127300126903556
2000-10-12,47.625,44.125,47.5625,44.1875,124300,44.1875,44.37083333333333,45.1475,42.51015625,40.147806186868685
2000-10-13,44.125,39.5,44.125,41.3125,401500,41.3125,44.05,45.15125,42.56828125,40.15365891959799
2000-10-16,43.625,41.75,42.3125,43.0,340000,43.0,43.87916666666667,45.13625,42.62515625,40.167890625
2000-10-17,43.8125,42.75,43.0,43.5625,119400,43.5625,43.80833333333333,45.1525,42.67515625,40.208828125
2000-10-18,46.4375,42.375,43.375,46.3125,129500,46.3125,43.983333333333334,45.2325,42.76828125,40.267265625
2000-10-19,47.9375,46.25,46.25,46.875,200100,46.875,44.12916666666667,45.31,42.85265625,40.332265625
2000-10-20,46.875,44.5625,46.5625,44.625,63200,44.625,44.170833333333334,45.3375,42.90703125,40.382265625
2000-10-23,45.4375,43.5625,44.875,45.4375,124200,45.4375,44.30833333333333,45.33375,42.96203125,40.431328125
2000-10-24,45.4375,44.5,45.3125,44.75,62300,44.75,44.44166666666667,45.3175,43.00578125,40.468828125
2000-10-25,44.5625,43.0,44.5625,43.75,50900,43.75,44.483333333333334,45.27625,43.04578125,40.507265625
2000-10-26,45.5,43.75,43.75,45.25,58200,45.25,44.670833333333334,45.2725,43.09515625,40.554140625
